"","taxonname","group","year","abundance","relative_abundance","relative_abundance_perc","log_abundance","group2"
"25","Acentria_ephemerella","Lepidoptera",2010,0,0,0,0,"Insect"
"26","Acentria_ephemerella","Lepidoptera",2012,0,0,0,0,"Insect"
"27","Acentria_ephemerella","Lepidoptera",2013,1,0,0,0.693147180559945,"Insect"
"28","Acentria_ephemerella","Lepidoptera",2014,0,0,0,0,"Insect"
"29","Acentria_ephemerella","Lepidoptera",2015,0,0,0,0,"Insect"
"30","Acentria_ephemerella","Lepidoptera",2016,0,0,0,0,"Insect"
"31","Acentria_ephemerella","Lepidoptera",2017,0,0,0,0,"Insect"
"32","Acentria_ephemerella","Lepidoptera",2020,1,0,0,0.693147180559945,"Insect"
"33","Acilius_canaliculatus_Ad.","Coleoptera",2010,0,0,0,0,"Insect"
"34","Acilius_canaliculatus_Ad.","Coleoptera",2012,0,0,0,0,"Insect"
"35","Acilius_canaliculatus_Ad.","Coleoptera",2013,0,0,0,0,"Insect"
"36","Acilius_canaliculatus_Ad.","Coleoptera",2014,0,0,0,0,"Insect"
"37","Acilius_canaliculatus_Ad.","Coleoptera",2015,0,0,0,0,"Insect"
"38","Acilius_canaliculatus_Ad.","Coleoptera",2016,0,0,0,0,"Insect"
"39","Acilius_canaliculatus_Ad.","Coleoptera",2017,0,0,0,0,"Insect"
"40","Acilius_canaliculatus_Ad.","Coleoptera",2020,1,0,0,0.693147180559945,"Insect"
"41","Acilius_sp._Ad.","Coleoptera",2010,0,0,0,0,"Insect"
"42","Acilius_sp._Ad.","Coleoptera",2012,0,0,0,0,"Insect"
"43","Acilius_sp._Ad.","Coleoptera",2013,24,0,0,3.2188758248682,"Insect"
"44","Acilius_sp._Ad.","Coleoptera",2014,0,0,0,0,"Insect"
"45","Acilius_sp._Ad.","Coleoptera",2015,0,0,0,0,"Insect"
"46","Acilius_sp._Ad.","Coleoptera",2016,0,0,0,0,"Insect"
"47","Acilius_sp._Ad.","Coleoptera",2017,5,0,0,1.79175946922805,"Insect"
"48","Acilius_sp._Ad.","Coleoptera",2020,0,0,0,0,"Insect"
"49","Acroloxus_lacustris","Gastropoda",2010,0,0,0,0,"Mollusc"
"50","Acroloxus_lacustris","Gastropoda",2012,0,0,0,0,"Mollusc"
"51","Acroloxus_lacustris","Gastropoda",2013,0,0,0,0,"Mollusc"
"52","Acroloxus_lacustris","Gastropoda",2014,36,0,0,3.61091791264422,"Mollusc"
"53","Acroloxus_lacustris","Gastropoda",2015,33,0,0,3.52636052461616,"Mollusc"
"54","Acroloxus_lacustris","Gastropoda",2016,0,0,0,0,"Mollusc"
"55","Acroloxus_lacustris","Gastropoda",2017,18,0,0,2.94443897916644,"Mollusc"
"56","Acroloxus_lacustris","Gastropoda",2020,26,0,0,3.29583686600433,"Mollusc"
"57","Aeshna_caerulea","Odonata",2010,0,0,0,0,"Insect"
"58","Aeshna_caerulea","Odonata",2012,0,0,0,0,"Insect"
"59","Aeshna_caerulea","Odonata",2013,0,0,0,0,"Insect"
"60","Aeshna_caerulea","Odonata",2014,0,0,0,0,"Insect"
"61","Aeshna_caerulea","Odonata",2015,0,0,0,0,"Insect"
"62","Aeshna_caerulea","Odonata",2016,0,0,0,0,"Insect"
"63","Aeshna_caerulea","Odonata",2017,0,0,0,0,"Insect"
"64","Aeshna_caerulea","Odonata",2020,1,0,0,0.693147180559945,"Insect"
"65","Aeshna_cyanea","Odonata",2010,0,0,0,0,"Insect"
"66","Aeshna_cyanea","Odonata",2012,0,0,0,0,"Insect"
"67","Aeshna_cyanea","Odonata",2013,0,0,0,0,"Insect"
"68","Aeshna_cyanea","Odonata",2014,0,0,0,0,"Insect"
"69","Aeshna_cyanea","Odonata",2015,0,0,0,0,"Insect"
"70","Aeshna_cyanea","Odonata",2016,3,0,0,1.38629436111989,"Insect"
"71","Aeshna_cyanea","Odonata",2017,1,0,0,0.693147180559945,"Insect"
"72","Aeshna_cyanea","Odonata",2020,5,0,0,1.79175946922805,"Insect"
"73","Aeshna_grandis","Odonata",2010,0,0,0,0,"Insect"
"74","Aeshna_grandis","Odonata",2012,0,0,0,0,"Insect"
"75","Aeshna_grandis","Odonata",2013,0,0,0,0,"Insect"
"76","Aeshna_grandis","Odonata",2014,0,0,0,0,"Insect"
"77","Aeshna_grandis","Odonata",2015,0,0,0,0,"Insect"
"78","Aeshna_grandis","Odonata",2016,2,0,0,1.09861228866811,"Insect"
"79","Aeshna_grandis","Odonata",2017,0,0,0,0,"Insect"
"80","Aeshna_grandis","Odonata",2020,1,0,0,0.693147180559945,"Insect"
"81","Aeshna_juncea","Odonata",2010,0,0,0,0,"Insect"
"82","Aeshna_juncea","Odonata",2012,0,0,0,0,"Insect"
"83","Aeshna_juncea","Odonata",2013,0,0,0,0,"Insect"
"84","Aeshna_juncea","Odonata",2014,0,0,0,0,"Insect"
"85","Aeshna_juncea","Odonata",2015,2,0,0,1.09861228866811,"Insect"
"86","Aeshna_juncea","Odonata",2016,0,0,0,0,"Insect"
"87","Aeshna_juncea","Odonata",2017,0,0,0,0,"Insect"
"88","Aeshna_juncea","Odonata",2020,0,0,0,0,"Insect"
"89","Aeshna_sp.","Odonata",2010,0,0,0,0,"Insect"
"90","Aeshna_sp.","Odonata",2012,0,0,0,0,"Insect"
"91","Aeshna_sp.","Odonata",2013,0,0,0,0,"Insect"
"92","Aeshna_sp.","Odonata",2014,0,0,0,0,"Insect"
"93","Aeshna_sp.","Odonata",2015,0,0,0,0,"Insect"
"94","Aeshna_sp.","Odonata",2016,0,0,0,0,"Insect"
"95","Aeshna_sp.","Odonata",2017,0,0,0,0,"Insect"
"96","Aeshna_sp.","Odonata",2020,0,0,0,0,"Insect"
"97","Agabus_sp._Ad.","Coleoptera",2010,55,0,0,4.02535169073515,"Insect"
"98","Agabus_sp._Ad.","Coleoptera",2012,123,0,0,4.82028156560504,"Insect"
"99","Agabus_sp._Ad.","Coleoptera",2013,45,0,0,3.8286413964891,"Insect"
"100","Agabus_sp._Ad.","Coleoptera",2014,14,0,0,2.70805020110221,"Insect"
"101","Agabus_sp._Ad.","Coleoptera",2015,2,0,0,1.09861228866811,"Insect"
"102","Agabus_sp._Ad.","Coleoptera",2016,26,0,0,3.29583686600433,"Insect"
"103","Agabus_sp._Ad.","Coleoptera",2017,12,0,0,2.56494935746154,"Insect"
"104","Agabus_sp._Ad.","Coleoptera",2020,11,0,0,2.484906649788,"Insect"
"105","Agapetus_ochripes","Trichoptera",2010,9,0,0,2.30258509299405,"EPT"
"106","Agapetus_ochripes","Trichoptera",2012,0,0,0,0,"EPT"
"107","Agapetus_ochripes","Trichoptera",2013,0,0,0,0,"EPT"
"108","Agapetus_ochripes","Trichoptera",2014,16,0,0,2.83321334405622,"EPT"
"109","Agapetus_ochripes","Trichoptera",2015,46,0,0,3.85014760171006,"EPT"
"110","Agapetus_ochripes","Trichoptera",2016,0,0,0,0,"EPT"
"111","Agapetus_ochripes","Trichoptera",2017,0,0,0,0,"EPT"
"112","Agapetus_ochripes","Trichoptera",2020,0,0,0,0,"EPT"
"113","Agapetus_sp.","Trichoptera",2010,0,0,0,0,"EPT"
"114","Agapetus_sp.","Trichoptera",2012,0,0,0,0,"EPT"
"115","Agapetus_sp.","Trichoptera",2013,0,0,0,0,"EPT"
"116","Agapetus_sp.","Trichoptera",2014,12,0,0,2.56494935746154,"EPT"
"117","Agapetus_sp.","Trichoptera",2015,0,0,0,0,"EPT"
"118","Agapetus_sp.","Trichoptera",2016,0,0,0,0,"EPT"
"119","Agapetus_sp.","Trichoptera",2017,0,0,0,0,"EPT"
"120","Agapetus_sp.","Trichoptera",2020,0,0,0,0,"EPT"
"121","Agraylea_multipunctata","Trichoptera",2010,0,0,0,0,"EPT"
"122","Agraylea_multipunctata","Trichoptera",2012,0,0,0,0,"EPT"
"123","Agraylea_multipunctata","Trichoptera",2013,61,0,0,4.12713438504509,"EPT"
"124","Agraylea_multipunctata","Trichoptera",2014,0,0,0,0,"EPT"
"125","Agraylea_multipunctata","Trichoptera",2015,0,0,0,0,"EPT"
"126","Agraylea_multipunctata","Trichoptera",2016,0,0,0,0,"EPT"
"127","Agraylea_multipunctata","Trichoptera",2017,0,0,0,0,"EPT"
"128","Agraylea_multipunctata","Trichoptera",2020,0,0,0,0,"EPT"
"129","Agrypnia_obsoleta","Trichoptera",2010,0,0,0,0,"EPT"
"130","Agrypnia_obsoleta","Trichoptera",2012,1,0,0,0.693147180559945,"EPT"
"131","Agrypnia_obsoleta","Trichoptera",2013,0,0,0,0,"EPT"
"132","Agrypnia_obsoleta","Trichoptera",2014,4,0,0,1.6094379124341,"EPT"
"133","Agrypnia_obsoleta","Trichoptera",2015,0,0,0,0,"EPT"
"134","Agrypnia_obsoleta","Trichoptera",2016,2,0,0,1.09861228866811,"EPT"
"135","Agrypnia_obsoleta","Trichoptera",2017,0,0,0,0,"EPT"
"136","Agrypnia_obsoleta","Trichoptera",2020,0,0,0,0,"EPT"
"137","Agrypnia_pagetana","Trichoptera",2010,0,0,0,0,"EPT"
"138","Agrypnia_pagetana","Trichoptera",2012,0,0,0,0,"EPT"
"139","Agrypnia_pagetana","Trichoptera",2013,0,0,0,0,"EPT"
"140","Agrypnia_pagetana","Trichoptera",2014,0,0,0,0,"EPT"
"141","Agrypnia_pagetana","Trichoptera",2015,0,0,0,0,"EPT"
"142","Agrypnia_pagetana","Trichoptera",2016,0,0,0,0,"EPT"
"143","Agrypnia_pagetana","Trichoptera",2017,10,0,0,2.39789527279837,"EPT"
"144","Agrypnia_pagetana","Trichoptera",2020,0,0,0,0,"EPT"
"145","Allotrichia_pallicornis","Trichoptera",2010,0,0,0,0,"EPT"
"146","Allotrichia_pallicornis","Trichoptera",2012,0,0,0,0,"EPT"
"147","Allotrichia_pallicornis","Trichoptera",2013,0,0,0,0,"EPT"
"148","Allotrichia_pallicornis","Trichoptera",2014,0,0,0,0,"EPT"
"149","Allotrichia_pallicornis","Trichoptera",2015,72,0,0,4.29045944114839,"EPT"
"150","Allotrichia_pallicornis","Trichoptera",2016,0,0,0,0,"EPT"
"151","Allotrichia_pallicornis","Trichoptera",2017,0,0,0,0,"EPT"
"152","Allotrichia_pallicornis","Trichoptera",2020,0,0,0,0,"EPT"
"153","Ametropus_sp.","Ephemeroptera",2010,4,0,0,1.6094379124341,"Ephemeroptera"
"154","Ametropus_sp.","Ephemeroptera",2012,0,0,0,0,"Ephemeroptera"
"155","Ametropus_sp.","Ephemeroptera",2013,0,0,0,0,"Ephemeroptera"
"156","Ametropus_sp.","Ephemeroptera",2014,0,0,0,0,"Ephemeroptera"
"157","Ametropus_sp.","Ephemeroptera",2015,0,0,0,0,"Ephemeroptera"
"158","Ametropus_sp.","Ephemeroptera",2016,0,0,0,0,"Ephemeroptera"
"159","Ametropus_sp.","Ephemeroptera",2017,0,0,0,0,"Ephemeroptera"
"160","Ametropus_sp.","Ephemeroptera",2020,0,0,0,0,"Ephemeroptera"
"161","Ampullaceana_ampla","Gastropoda",2010,0,0,0,0,"Mollusc"
"162","Ampullaceana_ampla","Gastropoda",2012,0,0,0,0,"Mollusc"
"163","Ampullaceana_ampla","Gastropoda",2013,0,0,0,0,"Mollusc"
"164","Ampullaceana_ampla","Gastropoda",2014,0,0,0,0,"Mollusc"
"165","Ampullaceana_ampla","Gastropoda",2015,0,0,0,0,"Mollusc"
"166","Ampullaceana_ampla","Gastropoda",2016,10,0,0,2.39789527279837,"Mollusc"
"167","Ampullaceana_ampla","Gastropoda",2017,0,0,0,0,"Mollusc"
"168","Ampullaceana_ampla","Gastropoda",2020,1,0,0,0.693147180559945,"Mollusc"
"169","Ampullaceana_balthica","Gastropoda",2010,10,0,0,2.39789527279837,"Mollusc"
"170","Ampullaceana_balthica","Gastropoda",2012,0,0,0,0,"Mollusc"
"171","Ampullaceana_balthica","Gastropoda",2013,0,0,0,0,"Mollusc"
"172","Ampullaceana_balthica","Gastropoda",2014,2,0,0,1.09861228866811,"Mollusc"
"173","Ampullaceana_balthica","Gastropoda",2015,30,0,0,3.43398720448515,"Mollusc"
"174","Ampullaceana_balthica","Gastropoda",2016,34,0,0,3.55534806148941,"Mollusc"
"175","Ampullaceana_balthica","Gastropoda",2017,101,0,0,4.62497281328427,"Mollusc"
"176","Ampullaceana_balthica","Gastropoda",2020,110,0,0,4.70953020131233,"Mollusc"
"177","Ampullaceana_lagotis","Gastropoda",2010,1,0,0,0.693147180559945,"Mollusc"
"178","Ampullaceana_lagotis","Gastropoda",2012,1,0,0,0.693147180559945,"Mollusc"
"179","Ampullaceana_lagotis","Gastropoda",2013,7,0,0,2.07944154167984,"Mollusc"
"180","Ampullaceana_lagotis","Gastropoda",2014,0,0,0,0,"Mollusc"
"181","Ampullaceana_lagotis","Gastropoda",2015,0,0,0,0,"Mollusc"
"182","Ampullaceana_lagotis","Gastropoda",2016,8,0,0,2.19722457733622,"Mollusc"
"183","Ampullaceana_lagotis","Gastropoda",2017,0,0,0,0,"Mollusc"
"184","Ampullaceana_lagotis","Gastropoda",2020,0,0,0,0,"Mollusc"
"185","Anabolia_laevis","Trichoptera",2010,12,0,0,2.56494935746154,"EPT"
"186","Anabolia_laevis","Trichoptera",2012,8,0,0,2.19722457733622,"EPT"
"187","Anabolia_laevis","Trichoptera",2013,6,0,0,1.94591014905531,"EPT"
"188","Anabolia_laevis","Trichoptera",2014,0,0,0,0,"EPT"
"189","Anabolia_laevis","Trichoptera",2015,0,0,0,0,"EPT"
"190","Anabolia_laevis","Trichoptera",2016,3,0,0,1.38629436111989,"EPT"
"191","Anabolia_laevis","Trichoptera",2017,40,0,0,3.71357206670431,"EPT"
"192","Anabolia_laevis","Trichoptera",2020,0,0,0,0,"EPT"
"193","Anabolia_sp.","Trichoptera",2010,3,0,0,1.38629436111989,"EPT"
"194","Anabolia_sp.","Trichoptera",2012,34,0,0,3.55534806148941,"EPT"
"195","Anabolia_sp.","Trichoptera",2013,36,0,0,3.61091791264422,"EPT"
"196","Anabolia_sp.","Trichoptera",2014,16,0,0,2.83321334405622,"EPT"
"197","Anabolia_sp.","Trichoptera",2015,11,0,0,2.484906649788,"EPT"
"198","Anabolia_sp.","Trichoptera",2016,33,0,0,3.52636052461616,"EPT"
"199","Anabolia_sp.","Trichoptera",2017,21,0,0,3.09104245335832,"EPT"
"200","Anabolia_sp.","Trichoptera",2020,6,0,0,1.94591014905531,"EPT"
"201","Anax_imperator","Odonata",2010,0,0,0,0,"Insect"
"202","Anax_imperator","Odonata",2012,0,0,0,0,"Insect"
"203","Anax_imperator","Odonata",2013,0,0,0,0,"Insect"
"204","Anax_imperator","Odonata",2014,1,0,0,0.693147180559945,"Insect"
"205","Anax_imperator","Odonata",2015,0,0,0,0,"Insect"
"206","Anax_imperator","Odonata",2016,0,0,0,0,"Insect"
"207","Anax_imperator","Odonata",2017,1,0,0,0.693147180559945,"Insect"
"208","Anax_imperator","Odonata",2020,2,0,0,1.09861228866811,"Insect"
"209","Anax_parthenope","Odonata",2010,0,0,0,0,"Insect"
"210","Anax_parthenope","Odonata",2012,0,0,0,0,"Insect"
"211","Anax_parthenope","Odonata",2013,0,0,0,0,"Insect"
"212","Anax_parthenope","Odonata",2014,0,0,0,0,"Insect"
"213","Anax_parthenope","Odonata",2015,0,0,0,0,"Insect"
"214","Anax_parthenope","Odonata",2016,0,0,0,0,"Insect"
"215","Anax_parthenope","Odonata",2017,0,0,0,0,"Insect"
"216","Anax_parthenope","Odonata",2020,1,0,0,0.693147180559945,"Insect"
"217","Ancylus_fluviatilis","Gastropoda",2010,108,0.01,1,4.69134788222914,"Mollusc"
"218","Ancylus_fluviatilis","Gastropoda",2012,574,0.01,1,6.35437004079735,"Mollusc"
"219","Ancylus_fluviatilis","Gastropoda",2013,281,0.01,1,5.64190707093811,"Mollusc"
"220","Ancylus_fluviatilis","Gastropoda",2014,796,0.02,2,6.68085467879022,"Mollusc"
"221","Ancylus_fluviatilis","Gastropoda",2015,475,0.02,2,6.16541785423142,"Mollusc"
"222","Ancylus_fluviatilis","Gastropoda",2016,315,0.01,1,5.75574221358691,"Mollusc"
"223","Ancylus_fluviatilis","Gastropoda",2017,169,0.01,1,5.13579843705026,"Mollusc"
"224","Ancylus_fluviatilis","Gastropoda",2020,27,0,0,3.3322045101752,"Mollusc"
"225","Anisus_sp.","Gastropoda",2010,6,0,0,1.94591014905531,"Mollusc"
"226","Anisus_sp.","Gastropoda",2012,22,0,0,3.13549421592915,"Mollusc"
"227","Anisus_sp.","Gastropoda",2013,104,0,0,4.65396035015752,"Mollusc"
"228","Anisus_sp.","Gastropoda",2014,19,0,0,2.99573227355399,"Mollusc"
"229","Anisus_sp.","Gastropoda",2015,0,0,0,0,"Mollusc"
"230","Anisus_sp.","Gastropoda",2016,0,0,0,0,"Mollusc"
"231","Anisus_sp.","Gastropoda",2017,1,0,0,0.693147180559945,"Mollusc"
"232","Anisus_sp.","Gastropoda",2020,0,0,0,0,"Mollusc"
"233","Anisus_spirorbis","Gastropoda",2010,0,0,0,0,"Mollusc"
"234","Anisus_spirorbis","Gastropoda",2012,0,0,0,0,"Mollusc"
"235","Anisus_spirorbis","Gastropoda",2013,1,0,0,0.693147180559945,"Mollusc"
"236","Anisus_spirorbis","Gastropoda",2014,0,0,0,0,"Mollusc"
"237","Anisus_spirorbis","Gastropoda",2015,0,0,0,0,"Mollusc"
"238","Anisus_spirorbis","Gastropoda",2016,0,0,0,0,"Mollusc"
"239","Anisus_spirorbis","Gastropoda",2017,0,0,0,0,"Mollusc"
"240","Anisus_spirorbis","Gastropoda",2020,0,0,0,0,"Mollusc"
"241","Anisus_vortex","Gastropoda",2010,0,0,0,0,"Mollusc"
"242","Anisus_vortex","Gastropoda",2012,0,0,0,0,"Mollusc"
"243","Anisus_vortex","Gastropoda",2013,0,0,0,0,"Mollusc"
"244","Anisus_vortex","Gastropoda",2014,0,0,0,0,"Mollusc"
"245","Anisus_vortex","Gastropoda",2015,0,0,0,0,"Mollusc"
"246","Anisus_vortex","Gastropoda",2016,0,0,0,0,"Mollusc"
"247","Anisus_vortex","Gastropoda",2017,0,0,0,0,"Mollusc"
"248","Anisus_vortex","Gastropoda",2020,4,0,0,1.6094379124341,"Mollusc"
"249","Anodonta_anatina","Bivalvia",2010,1,0,0,0.693147180559945,"Mollusc"
"250","Anodonta_anatina","Bivalvia",2012,0,0,0,0,"Mollusc"
"251","Anodonta_anatina","Bivalvia",2013,0,0,0,0,"Mollusc"
"252","Anodonta_anatina","Bivalvia",2014,0,0,0,0,"Mollusc"
"253","Anodonta_anatina","Bivalvia",2015,0,0,0,0,"Mollusc"
"254","Anodonta_anatina","Bivalvia",2016,0,0,0,0,"Mollusc"
"255","Anodonta_anatina","Bivalvia",2017,0,0,0,0,"Mollusc"
"256","Anodonta_anatina","Bivalvia",2020,0,0,0,0,"Mollusc"
"257","Anodonta_cygnea","Bivalvia",2010,0,0,0,0,"Mollusc"
"258","Anodonta_cygnea","Bivalvia",2012,0,0,0,0,"Mollusc"
"259","Anodonta_cygnea","Bivalvia",2013,8,0,0,2.19722457733622,"Mollusc"
"260","Anodonta_cygnea","Bivalvia",2014,5,0,0,1.79175946922805,"Mollusc"
"261","Anodonta_cygnea","Bivalvia",2015,0,0,0,0,"Mollusc"
"262","Anodonta_cygnea","Bivalvia",2016,0,0,0,0,"Mollusc"
"263","Anodonta_cygnea","Bivalvia",2017,0,0,0,0,"Mollusc"
"264","Anodonta_cygnea","Bivalvia",2020,1,0,0,0.693147180559945,"Mollusc"
"265","Anodonta_sp.","Bivalvia",2010,0,0,0,0,"Mollusc"
"266","Anodonta_sp.","Bivalvia",2012,1,0,0,0.693147180559945,"Mollusc"
"267","Anodonta_sp.","Bivalvia",2013,4,0,0,1.6094379124341,"Mollusc"
"268","Anodonta_sp.","Bivalvia",2014,2,0,0,1.09861228866811,"Mollusc"
"269","Anodonta_sp.","Bivalvia",2015,1,0,0,0.693147180559945,"Mollusc"
"270","Anodonta_sp.","Bivalvia",2016,2,0,0,1.09861228866811,"Mollusc"
"271","Anodonta_sp.","Bivalvia",2017,0,0,0,0,"Mollusc"
"272","Anodonta_sp.","Bivalvia",2020,0,0,0,0,"Mollusc"
"273","Anopheles_sp.","Diptera",2010,0,0,0,0,"Insect"
"274","Anopheles_sp.","Diptera",2012,1,0,0,0.693147180559945,"Insect"
"275","Anopheles_sp.","Diptera",2013,0,0,0,0,"Insect"
"276","Anopheles_sp.","Diptera",2014,2,0,0,1.09861228866811,"Insect"
"277","Anopheles_sp.","Diptera",2015,1,0,0,0.693147180559945,"Insect"
"278","Anopheles_sp.","Diptera",2016,0,0,0,0,"Insect"
"279","Anopheles_sp.","Diptera",2017,0,0,0,0,"Insect"
"280","Anopheles_sp.","Diptera",2020,0,0,0,0,"Insect"
"281","Apatania_auricula","Trichoptera",2010,0,0,0,0,"EPT"
"282","Apatania_auricula","Trichoptera",2012,0,0,0,0,"EPT"
"283","Apatania_auricula","Trichoptera",2013,0,0,0,0,"EPT"
"284","Apatania_auricula","Trichoptera",2014,0,0,0,0,"EPT"
"285","Apatania_auricula","Trichoptera",2015,0,0,0,0,"EPT"
"286","Apatania_auricula","Trichoptera",2016,0,0,0,0,"EPT"
"287","Apatania_auricula","Trichoptera",2017,8,0,0,2.19722457733622,"EPT"
"288","Apatania_auricula","Trichoptera",2020,0,0,0,0,"EPT"
"289","Apatania_sp.","Trichoptera",2010,0,0,0,0,"EPT"
"290","Apatania_sp.","Trichoptera",2012,0,0,0,0,"EPT"
"291","Apatania_sp.","Trichoptera",2013,0,0,0,0,"EPT"
"292","Apatania_sp.","Trichoptera",2014,0,0,0,0,"EPT"
"293","Apatania_sp.","Trichoptera",2015,3,0,0,1.38629436111989,"EPT"
"294","Apatania_sp.","Trichoptera",2016,0,0,0,0,"EPT"
"295","Apatania_sp.","Trichoptera",2017,0,0,0,0,"EPT"
"296","Apatania_sp.","Trichoptera",2020,0,0,0,0,"EPT"
"297","Aphelocheirus_aestivalis","Hemiptera",2010,549,0.03,3,6.30991827822652,"Insect"
"298","Aphelocheirus_aestivalis","Hemiptera",2012,915,0.02,2,6.82001636467413,"Insect"
"299","Aphelocheirus_aestivalis","Hemiptera",2013,933,0.03,3,6.83947643822884,"Insect"
"300","Aphelocheirus_aestivalis","Hemiptera",2014,753,0.02,2,6.62539236800796,"Insect"
"301","Aphelocheirus_aestivalis","Hemiptera",2015,823,0.03,3,6.71417052990947,"Insect"
"302","Aphelocheirus_aestivalis","Hemiptera",2016,351,0.01,1,5.8636311755981,"Insect"
"303","Aphelocheirus_aestivalis","Hemiptera",2017,536,0.02,2,6.28599809450886,"Insect"
"304","Aphelocheirus_aestivalis","Hemiptera",2020,527,0.01,1,6.26909628370626,"Insect"
"305","Asellus_aquaticus","Isopoda",2010,224,0.01,1,5.41610040220442,"Crustacea"
"306","Asellus_aquaticus","Isopoda",2012,317,0.01,1,5.76205138278018,"Crustacea"
"307","Asellus_aquaticus","Isopoda",2013,487,0.01,1,6.19031540585315,"Crustacea"
"308","Asellus_aquaticus","Isopoda",2014,314,0.01,1,5.75257263882563,"Crustacea"
"309","Asellus_aquaticus","Isopoda",2015,284,0.01,1,5.65248918026865,"Crustacea"
"310","Asellus_aquaticus","Isopoda",2016,626,0.02,2,6.44094654063292,"Crustacea"
"311","Asellus_aquaticus","Isopoda",2017,526,0.02,2,6.26720054854136,"Crustacea"
"312","Asellus_aquaticus","Isopoda",2020,793,0.02,2,6.67708346124714,"Crustacea"
"313","Astacus_leptodactylus","Decapoda",2010,0,0,0,0,"Crustacea"
"314","Astacus_leptodactylus","Decapoda",2012,0,0,0,0,"Crustacea"
"315","Astacus_leptodactylus","Decapoda",2013,0,0,0,0,"Crustacea"
"316","Astacus_leptodactylus","Decapoda",2014,1,0,0,0.693147180559945,"Crustacea"
"317","Astacus_leptodactylus","Decapoda",2015,1,0,0,0.693147180559945,"Crustacea"
"318","Astacus_leptodactylus","Decapoda",2016,0,0,0,0,"Crustacea"
"319","Astacus_leptodactylus","Decapoda",2017,0,0,0,0,"Crustacea"
"320","Astacus_leptodactylus","Decapoda",2020,0,0,0,0,"Crustacea"
"321","Astacus_sp.","Decapoda",2010,0,0,0,0,"Crustacea"
"322","Astacus_sp.","Decapoda",2012,0,0,0,0,"Crustacea"
"323","Astacus_sp.","Decapoda",2013,0,0,0,0,"Crustacea"
"324","Astacus_sp.","Decapoda",2014,0,0,0,0,"Crustacea"
"325","Astacus_sp.","Decapoda",2015,2,0,0,1.09861228866811,"Crustacea"
"326","Astacus_sp.","Decapoda",2016,0,0,0,0,"Crustacea"
"327","Astacus_sp.","Decapoda",2017,0,0,0,0,"Crustacea"
"328","Astacus_sp.","Decapoda",2020,5,0,0,1.79175946922805,"Crustacea"
"329","Athericidae_Gen._sp.","Diptera",2010,0,0,0,0,"Insect"
"330","Athericidae_Gen._sp.","Diptera",2012,3,0,0,1.38629436111989,"Insect"
"331","Athericidae_Gen._sp.","Diptera",2013,0,0,0,0,"Insect"
"332","Athericidae_Gen._sp.","Diptera",2014,0,0,0,0,"Insect"
"333","Athericidae_Gen._sp.","Diptera",2015,6,0,0,1.94591014905531,"Insect"
"334","Athericidae_Gen._sp.","Diptera",2016,0,0,0,0,"Insect"
"335","Athericidae_Gen._sp.","Diptera",2017,0,0,0,0,"Insect"
"336","Athericidae_Gen._sp.","Diptera",2020,2,0,0,1.09861228866811,"Insect"
"337","Atherix_ibis","Diptera",2010,104,0.01,1,4.65396035015752,"Insect"
"338","Atherix_ibis","Diptera",2012,489,0.01,1,6.19440539110467,"Insect"
"339","Atherix_ibis","Diptera",2013,449,0.01,1,6.10924758276437,"Insect"
